Country,id,id_obni,country_id,region_id
Australia,128,,5,1
Australia,127,,5,1
Australia,15,,5,1
Australia,59,,5,1
Australia,2,,5,1
New Zealand,91,,73,1
Papua New Guinea,228,,80,1
Austria,55,,6,2
Bosnia and Herzegovina,82,,13,2
Bulgaria,105,,16,2
Croatia,65,,25,2
Czech Republic,69,137,28,2
Hungary,96,162,45,2
Poland,23,174,83,2
Romania,21,165,86,2
Serbia,142,,90,2
Slovakia,115,147,94,2
Slovenia,119,160,95,2
China*,54,,22,3
Hong Kong,44,,44,3
Ethiopia,39,,35,4
Kenya,113,187,58,4
Tanzania,32,,103,4
Uganda,178,,110,4
Argentina,53,,4,5
Brazil,62,,14,5
Brazil,36,,14,5
Brazil,57,,14,5
Brazil,18,,14,5
Brazil,52,,14,5
Cuba,67,,26,5
Chile,83,43,21,5
Colombia,33,131,23,5
Costa Rica,64,,24,5
Bolivia,179,,12,5
Dominican Republic,153,,30,5
Ecuador,149,,31,5
Mexico,47,,67,5
Mexico,118,,67,5
Mexico,75,,67,5
Panama,111,,79,5
Peru,25,,81,5
Venezuela,224,,113,5
Cyprus,68,,27,6
Greece,95,,41,6
Israel,61,,51,6
Italy,101,,52,6
Italy,99,,52,6
Portugal,22,,84,6
Spain,16,,98,6
Spain,233,,98,6
Spain,13,,98,6
Afghanistan,166,,1,7
Bahrain,58,,8,7
Iran,227,,164,7
Iraq,109,,49,7
Iraq,164,,49,7
Jordan,129,,56,7
Kuwait,30,,59,7
Lebanon,172,,61,7
Oman,122,,76,7
Pakistan,116,188,77,7
Pakistan,140,,77,7
Qatar,74,234,85,7
Saudi Arabia,80,,88,7
Saudi Arabia,73,,88,7
Saudi Arabia,156,,88,7
United Arab Emirates,78,,109,7
United Arab Emirates,7,,109,7
United Arab Emirates,177,,109,7
Denmark,34,,29,8
Estonia,77,,34,8
Finland,81,,36,8
Iceland,97,,46,8
Latvia,121,,60,8
Lithuania,85,,63,8
Norway,20,,75,8
Sweden,12,,100,8
Algeria,148,,2,9
Egypt,71,,32,9
Egypt,120,,32,9
Libya,183,,62,9
Morocco,103,,69,9
Morocco,167,,69,9
Tunisia,157,,106,9
Barbados,146,,10,10
Canada,139,,20,10
Canada,163,,20,10
Canada,181,,20,10
Canada,35,,20,10
Canada,41,,20,10
Guyana,126,,43,10
Jamaica,79,,54,10
Trinidad and Tobago,66,,105,10
USA,133,,112,10
USA,173,,112,10
USA,132,,112,10
USA,123,,112,10
USA,45,,112,10
USA,104,,112,10
USA,4,,112,10
USA,136,,112,10
USA,5,,112,10
USA,28,,112,10
USA,226,,112,10
USA,225,,112,10
Japan,63,,55,11
Japan,49,,55,11
Mongolia,102,,68,11
South Korea,72,,97,11
Taiwan,11,168,102,11
Bangladesh,70,,9,12
India,170,186,47,12
India,51,,47,12
India,169,,47,12
India,98,,47,12
India,143,,47,12
India,40,,47,12
India,50,,47,12
India,42,,47,12
India,182,,47,12
Sri Lanka,222,,99,12
Burma,138,232,17,13
Brunei,221,,15,13
Cambodia,14,,18,13
Indonesia,29,171,48,13
Malaysia,56,161,65,13
Philippines,24,238,82,13
Singapore,37,230,93,13
Thailand,10,176,104,13
Vietnam,48,134,114,13
Vietnam,3,,114,13
Angola,158,,3,14
Mauritius,145,,66,14
Mozambique,86,,70,14
Namibia,130,,140,14
South Africa,144,,96,14
South Africa,31,,96,14
Zambia,106,,115,14
Azerbaijan,60,,7,15
Georgia,175,,137,15
Kazakhstan,76,,57,15
Russia,151,,87,15
Russia,19,,87,15
Russia,125,,87,15
Turkey,46,,107,15
Turkey,84,,107,15
Turkey,8,,107,15
Turkey,231,,107,15
Turkmenistan,184,,108,15
Ukraine,6,,111,15
Uzbekistan,141,,143,15
Tajikistan,236,,117,15
Ivory Coast,235,,53,16
Ghana,152,239,40,16
Nigeria,26,,74,16
Belgium,1,,11,17
France,87,,37,17
France,89,,37,17
France,88,,37,17
Germany,100,,39,17
Germany,93,,39,17
Germany,94,,39,17
Ireland,112,,50,17
Luxembourg,114,,141,17
Netherlands,92,,72,17
Switzerland,150,,101,17
Switzerland,117,,101,17